-3;9;67;-3;8;67;0;8;69;-10;9;64;-12;13;68;-14;12;66;-6;10;66;-4;0;67;-9;10;66;-9;11;66;0
-2;18;72;-4;17;65;0;13;61;11;8;60;8;13;62;20;0;61;50;-2;47;50;-5;47;15;-2;61;-12;7;69;0
-35;-5;47;-31;-20;40;-28;-63;33;-20;-75;32;7;-67;55;-22;-69;26;-41;-54;0;-40;-51;0;0;-51;21;-16;-64;27;0
-23;-61;28;-22;-43;33;-33;-50;69;-28;-26;64;-13;-10;60;-16;0;29;-66;23;-33;-65;19;-52;-8;41;0;-3;8;39;0
-13;16;74;-5;17;62;-4;22;80;-7;33;71;0;29;59;14;49;-9;9;59;-27;0;41;18;-7;18;75;0;21;87;1
-1;10;70;-4;-2;66;-4;0;63;-6;7;79;-12;14;84;-2;31;36;22;57;-8;0;57;-10;-8;35;48;0;17;67;1
-4;11;66;-5;10;73;-7;18;74;-8;20;79;-10;26;49;14;50;-1;0;64;-26;8;45;7;-19;30;58;-13;11;84;1
-3;13;65;-4;13;66;-3;16;69;-6;15;86;-9;26;58;7;43;7;13;63;-31;0;60;-16;0;45;30;-7;31;69;1
-3;22;64;-1;24;62;0;0;66;-5;-3;39;-26;-19;58;8;-59;74;25;-52;67;8;-64;72;-2;-14;43;8;12;39;2
0;18;64;0;17;64;0;18;65;0;17;65;7;0;46;-6;-28;41;0;-68;75;34;-69;93;-11;-38;50;0;0;34;2
0;15;66;0;13;67;0;13;64;0;12;64;0;8;48;0;-49;52;14;-65;82;18;-60;77;-3;-46;64;0;0;37;2
0;15;65;0;13;64;-5;12;52;10;-16;50;-25;-51;66;19;-59;75;12;-60;75;-10;-35;58;0;0;41;-2;15;56;2
-7;0;66;-4;0;66;-3;8;68;0;10;61;61;11;32;55;0;27;61;0;30;44;0;45;0;0;62;-13;8;64;3
-14;8;67;-4;8;69;-4;0;69;-4;8;68;19;8;50;58;7;32;61;0;29;54;0;45;24;0;61;-8;8;64;3
-6;7;67;-10;7;67;-6;8;66;-5;8;67;0;7;61;55;0;33;58;0;27;53;0;32;20;0;56;0;0;65;3
-11;7;66;-11;0;68;-12;0;67;20;7;48;62;0;28;58;0;31;59;0;34;45;0;48;-2;8;64;-11;12;65;3
-8;9;65;0;10;63;0;12;66;0;14;67;-49;15;42;-63;17;24;-74;18;13;-61;17;31;-32;17;51;0;16;66;4
0;15;66;0;15;67;-20;12;57;-54;13;33;-69;18;8;-68;17;7;-55;16;33;-23;16;54;10;15;66;13;14;66;4
9;15;65;9;12;65;8;14;64;13;13;68;-39;10;36;-70;19;8;-72;17;10;-31;16;47;19;17;68;12;16;67;4
7;16;64;7;16;65;0;14;65;-3;14;63;-72;15;19;-63;17;17;-61;18;27;-44;16;48;-8;18;58;14;14;63;4
15;15;64;13;15;63;14;15;63;8;16;66;-21;16;57;-74;28;-17;-51;40;-22;-45;46;-26;-38;44;-30;-34;45;-34;5
20;20;60;15;20;62;-15;22;58;-40;23;20;-64;29;-28;-49;36;-32;-40;39;-32;-40;39;-36;-37;37;-33;-38;39;-36;5
0;20;58;7;20;67;16;22;65;19;18;60;11;17;61;-46;23;31;-70;28;-29;-47;33;-37;-39;37;-37;-31;37;-40;5
14;12;69;12;14;65;10;13;61;14;14;63;12;13;66;-12;15;63;-69;21;-3;-62;28;-22;-48;33;-27;-41;38;-33;5
-53;-77;14;0;-73;44;-6;-67;36;-10;-61;25;-21;-56;14;-17;-53;17;-19;-59;24;-11;-64;38;-6;-65;28;-14;-62;25;0
-20;-61;29;-25;-56;34;-37;-44;0;-45;-28;-33;-37;-27;-29;-40;-35;-5;-37;-50;-7;-15;-68;22;-3;-71;40;-3;-61;30;0
-15;-59;22;-9;-62;23;-28;-60;0;-46;-56;0;-39;-54;-7;-39;-48;-16;-40;-47;-17;-41;-46;-20;-43;-47;-20;-52;-45;-21;0
-12;-72;72;-31;-41;65;-20;10;30;-8;36;25;8;56;0;29;69;-29;8;24;0;104;-31;40;-11;0;86;-63;9;37;0
-6;13;70;-8;13;72;-7;15;76;-6;26;67;0;38;37;13;57;-6;7;64;-17;9;55;-1;-11;23;51;-6;10;85;1
-4;12;65;-4;0;70;-8;7;77;-8;18;74;-8;25;70;14;45;16;15;61;-13;0;51;11;-15;31;56;-18;16;73;1
-12;12;66;-12;11;66;-12;12;65;-11;12;66;-15;8;81;-22;17;83;-7;35;32;10;61;-5;0;60;0;-7;52;28;1
