-74;18;-2;-62;15;26;-48;10;39;-43;11;32;-73;0;35;-82;6;-3;-72;10;-21;-66;23;-37;-57;31;7;-10;23;45;0
-8;28;57;-12;32;85;0;36;25;18;54;10;17;61;0;0;54;31;0;44;42;6;36;54;7;21;70;8;24;72;1
5;23;60;0;10;55;13;0;60;0;-8;54;11;-39;69;11;-57;59;16;-58;57;13;-59;58;0;-43;66;11;-11;57;2
11;14;66;12;12;64;12;13;66;34;7;52;43;-1;45;43;-6;47;47;-2;52;44;10;47;20;16;53;0;12;66;3
-9;14;61;-49;11;49;-58;12;27;-67;12;17;-74;9;9;-61;12;24;-58;12;35;-33;20;55;-3;18;58;19;13;62;4
20;16;67;19;18;61;-4;18;57;-59;15;21;-70;27;-19;-53;30;-33;-44;30;-38;-39;31;-37;-40;31;-40;-40;32;-38;5
6;14;64;13;9;67;-29;5;51;-53;6;50;-73;20;14;-58;26;31;-19;17;57;-1;5;61;-60;13;48;-72;9;6;0
-39;15;44;-25;-6;34;-41;-46;57;-12;-44;55;20;-78;49;-29;-68;28;-1;-61;25;-12;-59;13;-11;-63;25;-13;-63;23;0
32;-67;35;-80;-61;26;-81;-47;-15;-48;-25;14;57;-11;60;24;-17;49;-9;-47;-86;-42;43;-66;14;-2;41;24;0;87;0
-9;11;72;-11;17;64;12;-5;127;-23;24;30;-17;42;-58;11;33;32;-6;-13;48;8;-66;80;17;-37;74;-30;-35;53;0
10;8;75;-3;21;80;-6;34;47;-2;43;24;18;57;0;14;60;5;8;53;27;-9;38;43;-8;26;74;-5;25;71;1
-3;25;63;-3;25;62;-3;27;64;-3;28;92;-3;43;15;8;59;-6;11;57;13;-6;42;35;0;35;48;-5;21;76;1
-8;20;77;-8;27;72;-2;41;47;7;53;22;13;64;0;-1;62;18;-6;54;32;-9;37;54;-9;25;62;-5;14;74;1
-7;14;67;-5;13;65;-4;14;67;-19;11;93;-7;33;44;12;47;11;15;63;14;8;58;34;0;47;36;-3;38;56;1
0;18;60;0;0;53;0;5;55;6;-20;49;0;-62;69;10;-61;66;-3;-51;65;0;-20;50;-5;-4;50;0;10;65;2
0;14;66;0;15;64;0;13;57;0;0;53;0;-25;51;6;-62;66;24;-60;64;13;-59;61;0;-46;67;0;-9;45;2
0;7;62;8;-1;51;11;-16;49;22;-55;53;8;-52;68;9;-53;60;-9;-51;65;-12;-28;60;0;0;54;-6;11;58;2
-2;13;61;0;-4;44;12;-36;59;0;-66;59;0;-56;64;0;-55;61;0;-42;60;9;-12;56;5;0;53;-2;8;59;2
0;16;68;0;14;64;19;9;62;44;-2;43;48;-4;43;44;0;48;46;-1;60;9;5;54;-9;7;67;-11;6;67;3
